menu;famille;marque;modele;description_catalogue;remarque
Audio;Enceintes;L-Acoustics;K2;Enceinte ligne source 3 voies;
Audio;Enceintes;L-Acoustics;Kara;Enceinte ligne source 2 voies;
Audio;Enceintes;L-Acoustics;Kara II;Enceinte ligne source 2 voies;
Audio;Enceintes;L-Acoustics;V-DOSC;Enceinte ligne source 3 voies;
Audio;Enceintes;L-Acoustics;dV-DOSC;Enceinte ligne source (sous V-DOSC);
Audio;Enceintes;L-Acoustics;KS28;Renfort de grave 2 x 18";
Audio;Enceintes;L-Acoustics;SB28;Renfort de grave 2 x 18";
Audio;Enceintes;L-Acoustics;KS21;Renfort de grave 21";
Audio;Enceintes;L-Acoustics;SB18;Renfort de grave 18";
Audio;Enceintes;L-Acoustics;SB15m;Renfort de grave 15";Catalogue : « amplifié » ; à vérifier sur la documentation
Audio;Enceintes;L-Acoustics;115XT HiQ;Retour coaxial 2 voies (catalogue : 115Fm);Désignation catalogue « 115Fm », à confirmer
Audio;Enceintes;L-Acoustics;5XT;Enceinte coaxiale 2 voies;
Audio;Enceintes;L-Acoustics;X8;Enceinte coaxiale 2 voies;
Audio;Enceintes;L-Acoustics;X12;Enceinte coaxiale 2 voies;
Audio;Enceintes;L-Acoustics;X15 HiQ;Enceinte coaxiale 2 voies;
Audio;Enceintes;L-Acoustics;112P;Enceinte coaxiale amplifiée;
Audio;Enceintes;L-Acoustics;MTD115b;Enceinte coaxiale 2 voies;
Audio;Enceintes;L-Acoustics;A10 Wide;Enceinte 2 voies;
Audio;Enceintes;L-Acoustics;A10 Focus;Enceinte 2 voies;
Audio;Enceintes;L-Acoustics;A15 Wide;Enceinte 2 voies;
Audio;Enceintes;L-Acoustics;A15 Focus;Enceinte 2 voies;
Audio;Enceintes;L-Acoustics;Syva;Système colinéaire (Syva, Syva Low, Syva Sub);
Audio;Enceintes;L-Acoustics;ARCS;Enceinte 2 voies à courbure constante;
Audio;Amplification;L-Acoustics;LA4X;Contrôleur amplifié 4 canaux;
Audio;Amplification;L-Acoustics;LA8;Contrôleur amplifié 4 canaux;
Audio;Amplification;L-Acoustics;LA12X;Contrôleur amplifié 4 canaux;
Audio;Traitement;L-Acoustics;P1;Processeur système AVB;
Audio;Amplification;L-Acoustics;LA-RAK;Rack touring 3 x LA8;Ensemble : décrit par ses éléments
Audio;Amplification;L-Acoustics;LA-RAK II;Rack touring 3 x LA12X;Ensemble : décrit par ses éléments
Audio;Enceintes;Electro-Voice;EVOLVE 50;Système colonne + sub;
Audio;Enceintes;Yamaha;STAGEPAS 1K;Système colonne + sub;
Audio;Enceintes;dB Technologies;K162;Enceinte amplifiée;
Audio;Enceintes;Turbosound;iQ10;Enceinte amplifiée;
Audio;Enceintes;Turbosound;iQ15B;Caisson de grave amplifié;
Audio;Enceintes;Electro-Voice;Deltamax DML-1122;Enceinte (système Deltamax);Désignation catalogue « Deltamax 1122 »
Audio;Enceintes;Electro-Voice;TX2181;Caisson de grave;
Audio;Enceintes;Electro-Voice;SX300;Enceinte 2 voies passive;
Audio;Enceintes;Martin Audio;LE1200;Retour de scène 2 voies;Marque déduite, à confirmer
Audio;Enceintes;Dynaudio;BM5;Écoute de studio;
Audio;Enceintes;Behringer;MS16;Petite écoute amplifiée;
Audio;Consoles;Midas;M32R;Console numérique;
Audio;Consoles;Midas;M32 LIVE;Console numérique;
Audio;Consoles;Midas;HERITAGE-D HD96-24;Console numérique 144 entrées;Désignation catalogue « HERITAGE D »
Audio;Consoles;Midas;PRO2C;Console numérique;
Audio;Consoles;Midas;PRO1;Console numérique;
Audio;Consoles;Midas;PRO6;Console numérique;
Audio;Consoles;Midas;Heritage 3000;Console analogique;
Audio;Consoles;Midas;Heritage 1000;Console analogique;
Audio;Consoles;Midas;XL3;Console analogique;
Audio;Consoles;Midas;DM12;Console analogique;
Audio;Stageboxes;Midas;DL153;Stagebox AES50 16 entrées / 8 sorties;
Audio;Stageboxes;Midas;DL155;Stagebox AES50 8 entrées / 8 sorties / 8 AES;
Audio;Stageboxes;Midas;DL251;Stagebox AES50 48 entrées / 16 sorties;Catalogue : « DL351 ou 251 »
Audio;Stageboxes;Midas;DL351;Stagebox modulaire;
Audio;Stageboxes;Midas;DL231;Stagebox et splitter 48 entrées;
Audio;Stageboxes;Midas;DL32;Stagebox AES50 32 entrées / 16 sorties;
Audio;Stageboxes;Klark Teknik;DN9680;Interface fibre vers 8 x AES50;
Audio;Stageboxes;Klark Teknik;DN9650;Interface AES50 / Dante / MADI;
Audio;Stageboxes;Klark Teknik;DN9630;Interface AES50 / USB;
Audio;Enregistrement;Klark Teknik;DN9696;Enregistreur 96 pistes AES50;
Audio;Consoles;Yamaha;DM7;Console numérique Dante;
Audio;Consoles;Yamaha;DM7 EX;Extension de contrôle DM7;
Audio;Consoles;Yamaha;DM3;Console numérique;
Audio;Consoles;Yamaha;DM3 Standard (Dante);Version Dante;Désignation catalogue « DM3D »
Audio;Consoles;Yamaha;CL5;Console numérique Dante;
Audio;Consoles;Yamaha;CL3;Console numérique Dante;
Audio;Consoles;Yamaha;QL1;Console numérique Dante;
Audio;Consoles;Yamaha;M7CL;Console numérique;
Audio;Consoles;Yamaha;TF1;Console numérique;
Audio;Consoles;Yamaha;01V96i;Console numérique;
Audio;Consoles;Yamaha;MG16XU;Console analogique;Catalogue : « MG16/6FX »
Audio;Consoles;Yamaha;EMX660;Console amplifiée;Catalogue : « EMX 660 »
Audio;Stageboxes;Yamaha;Rio1608-D2;Stagebox Dante 16/8;
Audio;Stageboxes;Yamaha;Rio3224-D2;Stagebox Dante 32/16;
Audio;Stageboxes;Yamaha;RIO40;Stagebox Dante 40/16;Désignation à confirmer
Audio;Stageboxes;Yamaha;RIO48 D2;Stagebox Dante 48/24;Désignation à confirmer
Audio;Stageboxes;Yamaha;RIO64 D2;Stagebox Dante 64/32;Désignation à confirmer
Audio;Traitement;Yamaha;PY8-AE;Carte 8 in / 8 out AES;Carte d'extension
Audio;Traitement;Yamaha;MY4-DA;Carte 4 sorties analogiques;Carte d'extension
Audio;Traitement;Yamaha;MY8-ADDA96;Carte 8 in / 8 out analogiques;Carte d'extension
Audio;Traitement;Yamaha;MY16-ES64;Carte EtherSound;Carte d'extension
Audio;Traitement;Yamaha;MY16-AT;Carte ADAT 16 in / 16 out;Carte d'extension
Audio;Consoles;Behringer;X AIR XR12;Console numérique;
Audio;Consoles;Behringer;X AIR XR18;Console numérique;
Audio;Consoles;Avid;VENUE Profile;Console numérique;Catalogue : « PROFILE »
Audio;Consoles;Avid;VENUE SC48;Console numérique;Catalogue : « SC48 »
Audio;Consoles;Innovason;SY48;Console numérique;Marque indiquée pour SBINNOVA uniquement, à confirmer
Audio;Consoles;Innovason;SY80;Console numérique;À confirmer
Audio;Stageboxes;Innovason;Stagebox 64 entrées;Catalogue : « SBINNOVA »;
Audio;Consoles;Soundcraft;EFX8;Console analogique;
Audio;Consoles;Soundcraft;EPM6;Console analogique;
Audio;Systèmes HF;Shure;AD4D;Récepteur double Axient Digital;
Audio;Systèmes HF;Shure;AD1;Émetteur de poche Axient Digital;
Audio;Systèmes HF;Shure;AD2;Émetteur main Axient Digital;
Audio;Systèmes HF;Shure;ADX1M;Émetteur miniature Axient Digital;
Audio;Systèmes HF;Shure;SLXD4D;Récepteur double numérique;
Audio;Systèmes HF;Shure;SLXD1;Émetteur de poche;
Audio;Systèmes HF;Shure;SLXD2;Émetteur main;
Audio;Systèmes HF;Shure;UR4D;Récepteur double UHF-R;
Audio;Systèmes HF;Shure;UR1;Émetteur de poche UHF-R;
Audio;Systèmes HF;Shure;UR1M;Émetteur mini UHF-R;
Audio;Systèmes HF;Shure;UR2;Émetteur main UHF-R;
Audio;Systèmes HF;Shure;UA845;Distributeur d'antennes;
Audio;Systèmes HF;Shure;UA870;Antenne active;
Audio;Systèmes HF;Shure;UA874;Antenne active;
Audio;Systèmes HF;Shure;PSM900;Ear monitor;
Audio;Systèmes HF;Shure;PSM1000 (P10T, P10R+);Ear monitor;
Audio;Systèmes HF;Shure;PA821;Combineur d'antennes;
Audio;Systèmes HF;Shure;PA805;Antenne passive;
Audio;Systèmes HF;Shure;P6W;Ear monitor filaire;Désignation à confirmer
Audio;Systèmes HF;Behringer;EARSTICK;Ear monitor filaire;Désignation à confirmer
Audio;Systèmes HF;Fischer Amps;Shaker;Shaker + ampli;À confirmer
Audio;Systèmes HF;;XIRIUM;Système HF longue portée;Marque non indiquée
Audio;Captation;DPA;4099;Micro instrument;
Audio;Captation;DPA;4080;Capsule omni;
Audio;Captation;DPA;4060;Capsule omni;
Audio;Captation;DPA;4061;Capsule omni;
Audio;Captation;DPA;4066;Serre-tête omni;
Audio;Captation;DPA;4088;Serre-tête cardio;
Audio;Captation;Shure;PG185;Capsule cravate cardio;
Audio;Captation;Shure;MX153;Tour d'oreille omni;
Audio;Captation;Sennheiser;MKE 40;Capsule cravate cardio;Déjà dans la bibliothèque (MKE 40-EW)
Audio;Captation;Shure;SM57 / SM58;Micros dynamiques;SM57, SM58 déjà dans la bibliothèque
Audio;Captation;Shure;Beta 52A / 56A / 57A / 58A;Micros dynamiques;Beta 52A déjà dans la bibliothèque
Audio;Captation;Sennheiser;e604 / e609 / e906 / MD 421;Micros dynamiques;e609 et MD 421 II déjà dans la bibliothèque
Audio;Captation;Electro-Voice;ND868 / ND308 / ND408;Micros dynamiques;
Audio;Captation;Audix;i5 / D6;Micros dynamiques;
Audio;Captation;beyerdynamic;M 88 / M 201 / Opus 87;Micros dynamiques;
Audio;Captation;Shure;Beta 87 / Beta 91 / Beta 98 / SM81 / KSM137;Micros statiques;Beta 91A et SM81 déjà dans la bibliothèque
Audio;Captation;Electro-Voice;RE200;Micro statique;
Audio;Captation;AKG;C451 / C430 / C1000 / C411 / C214;Micros statiques;
Audio;Captation;Sennheiser;ME 64 / ME 80;Micros statiques;K6P + ME 64 déjà dans la bibliothèque
Audio;Captation;Audio-Technica;AT8035 / AT8015;Micros canon;
Audio;Captation;AKG;GN47;Micro col de cygne;Désignation à confirmer
Audio;Captation;Audio-Technica;ES925;Micro col de cygne;
Audio;Captation;Shure;MX412;Micro col de cygne;
Audio;Captation;Neumann;KM 184 / KMS 105 / TLM 103;Micros de studio;TLM 103 déjà dans la bibliothèque
Audio;Captation;Electro-Voice;RE20 / RE27;Micros de studio;
Audio;Captation;AKG;C414;Micro de studio;
Audio;Captation;Sennheiser;MD 441 / MKH 416;Micros de studio;MKH 416 déjà dans la bibliothèque
Audio;Captation;Klark Teknik;DN100 / DN200;Boîtes de direct;
Audio;Captation;Radial;ProD2 / JPC / J48;Boîtes de direct;
Audio;Captation;Avalon;U5;Boîte de direct;
Audio;Traitement;Avalon;VT-747SP;Compresseur + égaliseur;
Audio;Traitement;Avalon;VT-737sp;Tranche de console;
Audio;Traitement;AMEK;DMCL;Préampli / compresseur;
Audio;Traitement;Lafont;LP22;Tranche de console;À confirmer
Audio;Traitement;dbx;160;Compresseur;
Audio;Traitement;Empirical Labs;Distressor EL8-X;Compresseur;
Audio;Traitement;BSS;DPR-901;Compresseur multibande;
