menu;marque;modele;description_catalogue;page
Réseau;SWISSON;XES8G;8 Ports 10/100/1000 optimisé son/lumière;10
Réseau;NETGEAR;GS516UP;16 Ports Gigabit : 8 Ports PoE++ et 8 Ports PoE+;10
Réseau;NETGEAR;GS108;8 Ports 10/100/1000 half ou full duplex;10
Réseau;CISCO;SG300-10P;8 Ports Gigabit POE + 2 ports fibre;10
Réseau;CISCO;SG300-20;18 Ports Gigabit + 2 ports fibre;10
Réseau;LUMINEX;Gigacore 20T;Switch scénique 20 ports Gbits;10
Réseau;OXO;CORE8PRO;Switch 8 ports PoE+ 10/100 + 2ports trunk RJ45 1GBits;10
Réseau;NETGEAR;RG6220;4 Ports Gigabit-Wifi AC1200;10
Image;LANSEE;Muxlan 8+8 12GSDI;;16
Image;BLACKMAGIC DESIGN;VIDEO ASSIST 7'' 4K HDR;;17
Image;AJA;Ki Pro Ultra 12G;;17
Image;BLACKMAGIC DESIGN;URSA Broadcast G2;;17
Image;KILOVIEW;N60 | voir p69;;17
Image;EIZO;EV2740X-BK;;18
Image;ABSEN;POLARIS PRO V2 PL3.9;;18
Image;NOVASTAR;MX30;;18
Image;NOVASTAR;MX40 PRO;;18
Image;PANASONIC;TH-43/55/65/75/86EQ2W;;18
Image;ROLAND;V-160HD;;19
Image;LUMANTEK;EZ-PRO VS10;;19
Image;LANSEE;TIDY 3GSDI-LAN;;19
Image;LILLIPUT;PVM220S;;19
Image;EPSON;EB-PU2220B;;19
Image;PANASONIC;AW HE145;;19
Image;SWIT;FLOW 500;;19
Image;ROSS;ULTRIX FR2;Chassis modulaire Ross livré avec une carte 16x16 BNC et 4 alimentations redondantes.;20
Image;PANASONIC;ET-DLE055;PANASONIC ET-DLE250               PANASONIC ET-DLE450;31
Image;PANASONIC;ET-DLE030;PANASONIC ET-D75LE20              PANASONIC ET-D75LE30;31
Image;PANASONIC;TY-SB01QS Carte pour slot;;36
Image;LG;98UH5E;"Écran LED 98"", bord ultra fin (14,9 mm)";36
Image;LG;75UM3E;"Écran LED 75""";36
Image;LG;55SM5KE;"Écran LED 55""";36
Image;LG;43SM5KE;"Écran LED 43""";36
Image;LG;32SM5J;"Écran LED 32""";36
Image;LG;75UH5F-H;"Écran LED 75"" | Dalle matte";36
Image;LG;75UM3DG-H;"Écran LED 75"" | Dalle matte";36
Image;LG;55UH5F-H;"Écran LED 55"" | Dalle matte";36
Image;LG;43UH5F-H;"Écran LED 43"" | Dalle matte";36
Image;SAMSUNG;QM98F;"Écran LED 98""";36
Image;SAMSUNG;ME95;"Écran LED 95"", Bord ultra fin (12,3 mm)";36
Image;SAMSUNG;QB75H;"Écran LED 75""";36
Image;SAMSUNG;ME75;"Écran LED 75"", Bord ultra fin (14 mm)";36
Image;SAMSUNG;DM75;"Écran LED 75""";36
Image;SAMSUNG;ED75E;"Écran LED 75""";37
Image;SAMSUNG;UE55;"Écran LED 55"", Bord ultra fin (5,2 mm)";37
Image;SAMSUNG;DB55;"Écran LED 55""";37
Image;SAMSUNG;DB48;"Écran LED 48""";37
Image;SAMSUNG;UE46;"Écran LED 46"", Bord ultra fin (5,2 mm)";37
Image;SAMSUNG;DB40;"Écran LED 40""";37
Image;SAMSUNG;DB32;"Écran LED 32""";37
Image;SAMSUNG;DM32;"Écran LED 32""";37
Image;SAMSUNG;ME32;"Écran LED 32""";37
Image;SAMSUNG;DB22;"Écran LED 22""";37
Image;SAMSUNG;DB10;"Écran LED 10""";37
Image;NEC;P484 SST;"Moniteur 48""";38
Image;NEC;P554 SST;Moniteur 55'';38
Image;SAMSUNG;U28E850R;Écran LCD 28'', 4K, 3840 x 2160, entrées HDMI 2.0 (MHL), DP 1.2;38
Image;IIYAMA;XB2481 HS-B1 AVEC ASG;LCD;38
Image;NEC;2690 ∙ 26’’;"Écran LCD 26"", 16/10, Full HD 1920 x 1200 avec HP";38
Image;IIYAMA;B2280HS ∙ 22’’;"Écran LCD 22"", 16/9, Full HD 1920 x 1080";38
Image;SAMSUNG;UE48J5000 ∙ 48’’;"Téléviseur LED 48"", 16/9, Full HD 1920 x 1080";38
Image;SAMSUNG;UE40N ∙ 40’’;"Téléviseur LED 40"", 16/9, 4K, 3840 x 2160";38
Image;LILLIPUT;Q23 8K;"Moniteur LCD 23,8"", 16/9, 4K, 3840 X 2160, input 4x12GSDI, HDMI2.0";38
Image;SONY;LMD-A170;"Moniteur LCD 17"", 16/9, Full HD 1920 x 1080, 3GSDI, HDMI, Composite";39
Image;PANASONIC;BT-LH80W;"Moniteur vidéo de caméra ou régie 7.9"",16/9, 800 x 450, HD-SDI";39
Image;BLACKMAGIC DESIGN;VIDEO ASSIST 7'';Moniteur 7'', 12GSDI et HDMI 2.0 avec vecteurscope et enregistrement sur UHS-II ou USB-C;39
Image;SWIT;M-1071H;Bandeau;39
Image;SWIT;M-1073H;"Bandeau de 2 moniteurs 7"" 6GSDI, HDMI 2.0 4K";39
Image;IIYAMA;B2280HS;;39
Image;ABSEN;MLed PL2.5;Résolution (pitch) de 2,5 mm | Indoor, 200 x 200 px;42
Image;NOVASTAR;MCTRL4K;Processeur;50
Image;NOVASTAR;MCTRLR5;Processeur écran LED, Input 3840 x 1080 + rotation;50
Image;NOVASTAR;MCTRL660;Processeur;50
Image;NOVASTAR;VX1000;Processeur;50
Image;NOVASTAR;VX4S;Processeur;50
Image;NOVASTAR;VX6S;Processeur écran LED, Input 1920 x 1080 + scaler;50
Image;NOVASTAR;CVT4K;Déport de processeur Nova, 16 sorties EtherCON;50
Image;NOVASTAR;CVT10 PRO-S Déport de;;50
Image;BARCO;E2;;52
Image;BARCO;EC50;Contrôleur dédié à l’événementiel compact;52
Image;CANON;XF605;;60
Image;SONY;PMW-350 2/3’’;Caméscope XDCAM EX Full HD (plus option SD);60
Image;SONY;PXW-X160;3 capteurs CMOS Full HD 1/3 pouce;60
Image;PANASONIC;AW-UE150;;61
Image;PANASONIC;AW-UE100;Caméra tourelle robotisée 4K avec sortie vidéo;61
Image;PANASONIC;AW-HE130;Caméra tourelle robotisée Full HD avec sortie vidéo;61
Image;PANASONIC;AW-HE42;Caméra tourelle robotisée Full HD avec sortie vidéo;61
Image;CANON;HJ40X IAS D;40 x 10-400 mm, reports full servo fournis;62
Image;CANON;HJ11X4.7 IAS E;11 x 4.7-52 mm, reports full servo fournis;62
Image;BLACKMAGIC DESIGN;HyperDeck Studio HD Plus;Lecteur enregistreur sur carte SD UHS-II ou disque USB-C;64
Image;AJA;KiPro Rack;Lecteur-enregistreur SD/HD sur disque;64
Image;PANASONIC;AV-HS6000;Mélangeur 2M/E;68
